"","win_num","trans_num","winrate","return","ann_return"
"000001.sz",6,7,0.857142857142857,0.468433165760137,0.482393257754994
"000002.sz",4,5,0.8,1.11710000375179,0.993585941801774
"000009.sz",3,3,1,1.68542865006019,1.5930974069801
"000012.sz",5,6,0.833333333333333,1.04080059922468,0.230966556892242
"000021.sz",4,5,0.8,0.811383258485588,0.588011618128751
"000027.sz",1,4,0.25,-0.0810593895282933,-0.0706801486065267
"000028.sz",1,1,1,4.88699016683957,0.43044194278389
"000031.sz",2,5,0.4,-0.0739522889015162,-0.0281998552631232
"000034.sz",2,2,1,1.30369141655082,0.124624273447677
"000035.sz",2,3,0.666666666666667,0.283430160518522,0.425002440388427
"000039.sz",0,2,0,-0.183408184160333,-0.165411573007136
"000046.sz",4,5,0.8,0.975275009251154,0.476030470340476
"000050.sz",5,5,1,0.912931071600203,0.982444271731028
"000060.sz",4,6,0.666666666666667,0.634698327578627,0.419991540750826
"000062.sz",3,3,1,0.459056784393016,0.298029184849004
"000063.sz",3,3,1,0.410412560968066,0.711167054801761
"000066.sz",2,3,0.666666666666667,0.191345583002024,0.626204936405137
"000069.sz",2,4,0.5,0.393747199114187,0.102281476307828
"000078.sz",1,2,0.5,5.10076797265044,0.757831763026412
"000089.sz",2,3,0.666666666666667,-0.0331889100001234,0.0121150287753016
"000100.sz",2,3,0.666666666666667,0.356722614426303,0.408400326346221
"000156.sz",1,2,0.5,1.09210745537405,0.0642313295730904
"000157.sz",0,2,0,-0.310005303076289,-0.0616408149544976
"000158.sz",3,4,0.75,0.523686130966783,2.04933861460643
"000166.sz",2,3,0.666666666666667,1.0094616248786,0.352857843176761
"000301.sz",1,2,0.5,-0.0921663120317806,0.151704136572438
"000333.sz",0,0,0,0,0
"000338.sz",1,3,0.333333333333333,-0.111159803571885,-0.123874183367795
"000400.sz",1,2,0.5,-0.184101293231073,0.0915555545695504
"000401.sz",1,2,0.5,0.323269032200532,0.0898526050750599
"000402.sz",2,4,0.5,0.282614322344148,0.192747890163524
"000403.sz",0,0,0,0,0
"000415.sz",1,2,0.5,0.141081360413217,0.595877498648478
"000423.sz",2,2,1,0.956474977504017,0.55204246691743
"000425.sz",2,3,0.666666666666667,0.618347217302336,0.16576412175876
"000488.sz",3,3,1,0.588416509442782,0.3223671973096
"000513.sz",1,3,0.333333333333333,0.615127564980216,0.241785133608859
"000516.sz",4,4,1,0.904577649058845,1.80691403246089
"000528.sz",2,3,0.666666666666667,0.0267069393168949,0.0177603750320508
"000537.sz",3,5,0.6,0.605414034407558,0.184308751707255
"000538.sz",2,2,1,0.826219811778773,1.06287010247868
"000539.sz",3,4,0.75,0.241485935559307,0.0936594378578675
"000540.sz",3,4,0.75,5.99565449957115,1.08524873404666
